hhid,head_siblings,debt_ratio_winsorized,log_debt_ratio_winsorized,total_debt,total_assets,head_age,head_is_male,head_educ,head_is_married,head_health,has_business,num_houses,log_total_assets
2017000001,,0.0,-6.907755278982137,0.0,85300.0,45.0,0.0,1.0,1.0,2.0,0.0,1.0,11.353941456740479
2013013417,,0.0,-6.907755278982137,0.0,25600.0,62.0,1.0,3.0,1.0,4.0,1.0,1.0,10.150386692204734
2017000003,,0.0,-6.907755278982137,0.0,614400.0,54.0,0.0,3.0,1.0,3.0,0.0,1.0,13.328403088418442
2013012670,4.0,0.0,-6.907755278982137,0.0,116800.0,34.0,0.0,3.0,1.0,3.0,1.0,1.0,11.66822691098345
2013020230,,0.0,-6.907755278982137,0.0,76026.0,51.0,1.0,3.0,1.0,2.0,0.0,1.0,11.238843819335349
2017000006,,0.0,-6.907755278982137,0.0,4765100.0,63.0,1.0,4.0,1.0,3.0,0.0,1.0,15.376829291068258
2017000007,,1.1709601873536026,0.15867772074302283,50000.0,42700.0,41.0,0.0,3.0,1.0,3.0,0.0,0.0,10.661977618146238
201100672,,2.391304347825983,0.8722570637078121,55000.0,23000.0,53.0,1.0,2.0,1.0,4.0,0.0,1.0,10.043292972227004
2013024343,,0.0,-6.907755278982137,0.0,15400.0,74.0,1.0,2.0,1.0,3.0,0.0,1.0,9.642187721358466
2015003554,,0.45971563981042546,-0.7749742596884927,194000.0,422000.0,49.0,0.0,2.0,1.0,4.0,0.0,2.0,12.952762962683588
201105407,,0.0,-6.907755278982137,0.0,474800.0,59.0,0.0,4.0,1.0,2.0,0.0,1.0,13.07065104786539
2015032094,,0.0,-6.907755278982137,0.0,107600.0,51.0,1.0,2.0,0.0,3.0,0.0,1.0,11.586185220346932
201106190,,0.33231791747438294,-1.098658537314413,120000.0,361100.0,49.0,0.0,2.0,1.0,5.0,0.0,1.0,12.796912976577694
2015008209,,2.0753793441017905,0.7306256769835779,212000.0,102150.0,69.0,1.0,3.0,1.0,5.0,0.0,1.0,11.53420738972306
2013027935,,0.07710100231302995,-2.5497523885052766,50000.0,648500.0,47.0,1.0,7.0,1.0,3.0,0.0,2.0,13.382418824757494
2015031182,,0.0,-6.907755278982137,0.0,411300.0,41.0,1.0,3.0,0.0,3.0,0.0,1.0,12.927080585530902
2017000017,,0.0,-6.907755278982137,0.0,103000.0,56.0,0.0,3.0,1.0,2.0,0.0,1.0,11.542493975902508
2017000018,,0.0,-6.907755278982137,0.0,8500.0,81.0,0.0,1.0,1.0,4.0,0.0,1.0,9.04793908261736
2013022029,,0.0,-6.907755278982137,0.0,2300.0,71.0,1.0,2.0,0.0,2.0,0.0,0.0,7.741099090035366
2017000020,1.0,0.0,-6.907755278982137,0.0,8000.0,27.0,0.0,6.0,1.0,1.0,1.0,0.0,8.987321812850125
2015020600,,0.0,-6.907755278982137,0.0,57000.0,67.0,1.0,3.0,1.0,3.0,0.0,1.0,10.950824090522445
2013009176,,0.0,-6.907755278982137,0.0,1503680.0,60.0,0.0,2.0,1.0,4.0,0.0,1.0,14.22342665993148
201105302,,0.0,-6.907755278982137,0.0,2002.0,56.0,0.0,2.0,1.0,3.0,0.0,1.0,7.602401335665818
2015008171,,0.0,-6.907755278982137,0.0,185705.0,65.0,0.0,2.0,1.0,4.0,0.0,1.0,12.13192005699654
2015013854,,0.0,-6.907755278982137,0.0,3051500.0,73.0,0.0,3.0,1.0,4.0,0.0,1.0,14.931144158674318
2015022428,,0.0,-6.907755278982137,0.0,2550.0,55.0,0.0,4.0,1.0,3.0,0.0,1.0,7.844240718141811
2015020171,,0.0,-6.907755278982137,0.0,401500.0,73.0,0.0,1.0,1.0,3.0,0.0,1.0,12.902965303025876
2015006001,,0.0,-6.907755278982137,0.0,182000.0,65.0,0.0,5.0,0.0,2.0,0.0,1.0,12.111767460549332
201101586,,0.8196721311475276,-0.19763160234045216,50000.0,61000.0,59.0,1.0,4.0,1.0,1.0,1.0,0.0,11.0186455364637
2013007992,,0.0263157894736842,-3.600290374982689,50000.0,1900000.0,52.0,1.0,2.0,1.0,2.0,1.0,2.0,14.45736497045232
2017000031,,0.0,-6.907755278982137,0.0,192300.0,68.0,1.0,3.0,1.0,2.0,0.0,1.0,12.166817131771358
2017000032,0.0,0.0,-6.907755278982137,0.0,4056500.0,27.0,0.0,7.0,0.0,1.0,0.0,2.0,15.21583133733516
2017000033,1.0,0.0,-6.907755278982137,0.0,319300.0,37.0,0.0,3.0,1.0,2.0,0.0,1.0,12.673889510548893
2017000034,,0.6751054852320618,-0.39140617186995835,80000.0,118500.0,48.0,0.0,3.0,1.0,4.0,0.0,1.0,11.682676678340282
2013024007,,0.09900990099009899,-2.3024860879942124,350000.0,3535000.0,52.0,1.0,2.0,1.0,2.0,1.0,1.0,15.078224140198202
2015003733,,0.0,-6.907755278982137,0.0,7080.0,58.0,0.0,3.0,1.0,3.0,0.0,1.0,8.865170419651774
2013011392,,0.12793176972281423,-2.048471931423747,60000.0,469000.0,54.0,1.0,3.0,1.0,3.0,0.0,2.0,13.058360179622305
2017000038,,0.0,-6.907755278982137,0.0,187450.0,49.0,0.0,2.0,0.0,3.0,0.0,1.0,12.141272756905764
201103375,0.0,0.053022269353128294,-2.9183589220011843,150000.0,2829000.0,29.0,1.0,6.0,1.0,1.0,1.0,2.0,14.855434203765437
2015024655,,0.09090909090909076,-2.3869553327600377,60000.0,660000.0,42.0,0.0,2.0,1.0,2.0,0.0,1.0,13.399996629152975
2015032632,1.0,0.0,-6.907755278982137,0.0,78000.0,38.0,1.0,2.0,1.0,2.0,0.0,1.0,11.264476926102367
2013016357,,11.15241635687525,2.4117458506950733,100000.0,6050.0,62.0,0.0,4.0,1.0,2.0,0.0,1.0,8.707978826622321
2013021460,,0.0,-6.907755278982137,0.0,7500.0,46.0,1.0,1.0,1.0,2.0,0.0,1.0,8.922791623969637
2017000044,,0.0,-6.907755278982137,0.0,490200.0,69.0,0.0,2.0,1.0,2.0,0.0,2.0,13.102570790057749
2015001407,,0.0,-6.907755278982137,0.0,2182020.0,71.0,1.0,4.0,1.0,2.0,0.0,1.0,14.595762069526824
2013019863,4.0,0.0,-6.907755278982137,0.0,255000.0,38.0,1.0,3.0,1.0,3.0,1.0,1.0,12.449022745701502
2017000047,,0.0,-6.907755278982137,0.0,8903000.0,44.0,0.0,7.0,1.0,1.0,0.0,1.0,16.00189896887749
2017000048,,0.0,-6.907755278982137,0.0,135000.0,58.0,0.0,4.0,1.0,3.0,0.0,1.0,11.813037464800539
2015019610,,0.0,-6.907755278982137,0.0,34245.0,42.0,0.0,2.0,1.0,4.0,0.0,0.0,10.441325048548917
2013000613,0.0,0.12573344509639564,-2.0656692557204863,1050000.0,8351000.0,33.0,1.0,9.0,1.0,3.0,1.0,1.0,15.937891969881498
2013013544,,0.0,-6.907755278982137,0.0,207200.0,52.0,0.0,3.0,1.0,1.0,0.0,1.0,12.241444615610645
2017000052,,0.0,-6.907755278982137,0.0,20000.0,54.0,0.0,3.0,0.0,2.0,0.0,1.0,9.90353755128617
2015031209,,0.0,-6.907755278982137,0.0,1470000.0,80.0,0.0,6.0,0.0,2.0,0.0,1.0,14.200773639026796
2017000054,1.0,0.0,-6.907755278982137,0.0,864360.0,31.0,1.0,6.0,1.0,4.0,0.0,1.0,13.669745784596095
2015032321,,0.0,-6.907755278982137,0.0,205998.0,70.0,0.0,1.0,1.0,4.0,0.0,1.0,12.235626593391004
